,sentence
339,"Confronted busts of Gordian III, laureate, seen from behind, wearing paludamentum, and of Tranquillina, diademed and draped."
340,"Confronted busts of Gordian III, laureate, wearing cuirass and paludamentum, and of Tranquillina, diademed and draped."
341,"Confronted busts of Gordian III, laureate, wearing cuirass and paludamentum, seen from behind, and of Tranquillina, diademed and draped."
342,"Gorgoneion, tongue protruding, serpents forming curls framing head; within incuse circle."
343,Bunch of grapes on vine branch with a leaf on each side.
344,Bunch of grapes.
345,"Vine with four bunches of grapes, two on each side, within linear square; all within incuse square."
346,"Vine with five bunches of grapes, three on left, two on right, within linear square; all within incuse square."
347,"Vine with five bunches of grapes, two on left, three on right, within linear square; all within incuse square."
348,"Vine with six bunches of grapes, three on each side, within linear square; all within incuse square."
349,"Vine with four bunches of grapes within linear square; in upper left field, astragalos; all within incuse square."
350,"Vine with four bunches of grapes within linear square; in left field, caduceus upwards; all within incuse square."
351,"Vine with four bunches of grapes within linear square; in left field, grain ear upwards; all within incuse square."
352,"Vine within linear square; in left field, plow; all within incuse square."
353,"Vine with three bunches of grapes within linear square; in left field, turtle; all within incuse square."
354,"Griffin advancing left, right forepaw slightly raised, with feathered wings and slightly open beak; to left, star of eight rays, with a dot between the rays. Groundline. Border of dots."
355,"Griffin leaping left, forepart and forpaws raised, with feathered wings, tail curling and open beak. Ground line."
356,"Griffin leaping left, forepart and forpaws raised, with feathered wings, tail curling and open beak with tongue protruding."
357,"Griffin leaping left, forepart and forpaws raised, with feathered wings, tail curling and open beak."
358,"Griffin leaping left, forepart and forpaws raised, with feathered wings, tail curling and open beak. Above grain corn."
359,"Griffin leaping left, forepart and forpaws raised, with feathered wings, tail curling and open beak. Above, male head, right."
360,"Griffin leaping left, forepart and forpaws raised, with feathered wings, tail curling and open beak. Above tail, scallop shell."
361,"Griffin leaping left, forepart and forpaws raised, with feathered wings, tail under hindlegs and closed beak."
362,"Griffin lying left, forepaws raised, with feathered wings, tail curling and closed beak."
363,"Griffin lying left, right forepaw raised, with feathered wings, tail curling and closed beak."
364,"Griffin lying left, right forepaw raised, with feathered wings, tail under hindlegs and closed beak. Ground line."
365,"Griffin lying right, left forepaw raised, with feathered wings, tail under hindlegs and closed beak. Ground line."
366,"Griffin lying left on club, left, with feathered wings, tail curling and open beak."
367,"Griffin seated left, right forepaw raised, with feathered wings, tail curling and closed beak."
368,"Griffin seated left, right forepaw raised, with palmette-like curved upwards wings, tail curling and open beak with tongue protruding."
369,"Griffin seated left, right forepaw raised, with plain curved wings, tail curling and open beak with tongue protruding."
370,"Griffin seated left on tunny, left, right forepaw raised, with palmette-like upwards curved wings, tail curling and open beak with tongue protruding."
371,"Griffin seated left, right forepaw raised, with palmette-like curved upwards wings, tail curling and open beak with tongue protruding; to left, cicada downwards. Border of dots."
372,"Griffin seated left, with feathered wings, second wing to be seen in background, with tail curling and closed beak; to left, fly. Border of dots."
373,"Griffin standing left, right forepaw raised, with feathered wings, tail under hindlegs and closed beak. Ground line."
374,"Griffin standing left, right forepaw raised, with palmette-like curved upwards wings and open beak; in front, eagle flying right."
375,"Hades-Serapis enthroned left, wearing kalathos, holding patera in outstretched right hand, left resting on sceptre."
376,"Hades-Serapis enthroned left, extending right hand over Cerberus, left, holding sceptre in left arm. Border of dots."
377,"Nude Harpocrates standing left, wearing skhent, raising right arm finger to lips, holding cornucopia in left arm."
378,Headdress of Isis.
379,Headdress of Isis between two crossed ears of corn; all within laurel wreath bound at the bottom.
380,"Helios standing in quadriga, facing, with arms raised."
381,"Radiate head of Helios, right."
382,Crested Corinthian helmet facing.
383,"Veiled Hera standing facing, head left, wearing stephane, holding patera in outstretched right hand over lighted and garlanded altar, left resting on long sceptre. Ground line. Border of dots."
384,"Hera standing facing, head left, holding patera in outstretched right hand, left resting on sceptre. Ground line. Border of dots."
385,"Veiled Hera standing facing, head left, wearing stephane and long garment, holding patera in outstretched right hand, left resting on long sceptre. Ground line. Border of dots."
386,"Veiled Hera (Samios) standing left, wearing kalathos, resting both hands on pelleted fillets."
387,"Nude bearded Heracles advancing right, head left, lion skin over left shoulder, holding club with left hand over left shoulder, drawing out Cerberus on a leash, outcropping behind a rock to left."
388,"Nude bearded Heracles advancing right, holding lion skin over left arm, a bow in left hand and club in raised right hand, a quiver at his back; to right, scallop shell. Ground line. All within a shallow incuse square."
389,"Head of bearded Heracles, right."
390,"Head of (youthful) Heracles, right, wearing lion skin."
391,"Head of bearded Heracles, right, wearing lion skin."
392,"Head of bearded Heracles, right, wearing lion skin. Border of dots."
393,"Head of Heracles, right, wearing lion skin, knotted around neck."
394,"Head of Heracles, right, wearing lion skin; within incuse square."
395,"Head of Heracles, right, wearing lion skin."
396,"Nude bearded Heracles standing left, lion skin draped over back, pushing the already lying Cerynean hind with his right knee at its back and grasping it by the antlers; in exergue, club, left."
397,"Nude Heracles standing right, pushing Cerynean hind with his right knee at its back and grasping it by the antlers. Border of dots."
398,"Nude Heracles standing right, wearing lion skin, pushing Cerynean hind with his right knee at its back and grasping it by the antlers. Ground line. Border of dots."
399,"Nude Heracles advancing right, lion skin over left arm, grasping with right hand the horns of the uprising Cretan Bull, strangling it with left arm."
400,"Heracles with Diomedes and horses; in the middle, Heracles standing left, head right, brandishing club in raised right hand and grasping Diomedes, fallen on his knees to right, by the head with left hand; to left, horse running right, below, wheel; to right, three horses to right, lowest one fallen, upper one pouncing right."
401,"Nude Heracles standing facing, head right, holding club in right hand and lion skin over his left arm; at right, serpent (Ladon) coiling around apple tree of the Hesperides."
402,"Nude bearded Heracles standing facing, head right, holding club in right hand, lion skin over left arm and apples of the Hesperides in left hand; at right, serpent (Ladon) coiling around tree, at right, Hesperide standing facing, head left."
